Name,Address,Longitude,Latitude,OperatorID,Connector,Power
öff. Wipark - Lehargasse,"Lehargasse 2, 1060, Wien",16.36377,48.200371,VIE,type2,3
öff. Wipark - Lehargasse,"Lehargasse 2, 1060, Wien",16.36377,48.200371,VIE,type2,11
öff. Wipark - Lehargasse,"Lehargasse 2, 1060, Wien",16.36377,48.200371,VIE,type2,3
öff. Wipark - Lehargasse,"Lehargasse 2, 1060, Wien",16.36377,48.200371,VIE,type2,3
öff. Wipark - Lehargasse,"Lehargasse 2, 1060, Wien",16.36377,48.200371,VIE,type2,3
öff. Wipark - Lehargasse,"Lehargasse 2, 1060, Wien",16.36377,48.200371,VIE,type2,3
öff. Wipark - Lehargasse,"Lehargasse 2, 1060, Wien",16.36377,48.200371,VIE,type2,11
Felberstr.70,"Felberstraße 70, 1150, Wien",16.325611,48.194735,VNA,type2,11
Felberstr.70,"Felberstraße 70, 1150, Wien",16.325611,48.194735,VNA,type2,11
Fünfhausg.6,"Fünfhausgasse 6, 1150, Wien",16.33511,48.190063,VNA,type2,11
Fünfhausg.6,"Fünfhausgasse 6, 1150, Wien",16.33511,48.190063,VNA,type2,11
Gebrüder Lang G.16,"Gebrüder-Lang-Gasse 16, 1150, Wien",16.335488,48.193024,VNA,type2,11
Gebrüder Lang G.16,"Gebrüder-Lang-Gasse 16, 1150, Wien",16.335488,48.193024,VNA,type2,11
Graumanng.20,"Graumanngasse 20, 1150, Wien",16.336369,48.187406,VNA,type2,11
Graumanng.20,"Graumanngasse 20, 1150, Wien",16.336369,48.187406,VNA,type2,11
Grenzg.5,"Grenzgasse (Rudolfsheim-Fünfhaus) 5, 1150, Wien",16.330053,48.192134,VNA,type2,11
Grenzg.5,"Grenzgasse (Rudolfsheim-Fünfhaus) 5, 1150, Wien",16.330053,48.192134,VNA,type2,11
Hofmoklg.1,"Hofmoklgasse 1, 1150, Wien",16.327418,48.184552,VNA,type2,11
Hofmoklg.1,"Hofmoklgasse 1, 1150, Wien",16.327418,48.184552,VNA,type2,11
Jheringg.24,"Jheringgasse 24, 1150, Wien",16.32149,48.18855,VNA,type2,11
Jheringg.24,"Jheringgasse 24, 1150, Wien",16.32149,48.18855,VNA,type2,11
Kriemhildpl.10,"Kriemhildplatz 10, 1150, Wien",16.32969,48.202531,VNA,type2,11
Kriemhildpl.10,"Kriemhildplatz 10, 1150, Wien",16.32969,48.202531,VNA,type2,11
Tannhäuserplatz,"Tannhäuserplatz 1, 1150, Wien",16.325278,48.199141,VNA,type2,11
Tannhäuserplatz,"Tannhäuserplatz 1, 1150, Wien",16.325278,48.199141,VNA,type2,11
Viktoriagasse 6,"Viktoriagasse 6, 1150, Wien",16.332407,48.193616,VNA,type2,11
Viktoriagasse 6,"Viktoriagasse 6, 1150, Wien",16.332407,48.193616,VNA,type2,11
Ameisbachzeile 21,"Ameisbachzeile 21, 1140, Wien",16.291503,48.201731,VNA,type2,11
Ameisbachzeile 21,"Ameisbachzeile 21, 1140, Wien",16.291503,48.201731,VNA,type2,11
Albert Schweitzer G.5,"Albert-Schweitzer-Gasse 5, 1140, Wien",16.220385,48.207257,VNA,type2,11
Albert Schweitzer G.5,"Albert-Schweitzer-Gasse 5, 1140, Wien",16.220385,48.207257,VNA,type2,11
Ameisg.8,"Ameisgasse 8, 1140, Wien",16.300185,48.190542,VNA,type2,11
Ameisg.8,"Ameisgasse 8, 1140, Wien",16.300185,48.190542,VNA,type2,11
Märzstr.115-123,"Märzstraße 115-123, 1140, Wien",16.312986,48.196635,VNA,type2,11
Märzstr.115-123,"Märzstraße 115-123, 1140, Wien",16.312986,48.196635,VNA,type2,11
Cumberlandstr.10,"Cumberlandstraße 10, 1140, Wien",16.309801,48.191963,VNA,type2,11
Cumberlandstr.10,"Cumberlandstraße 10, 1140, Wien",16.309801,48.191963,VNA,type2,11
Zentagasse 31,"Zentagasse 31, 1050, Wien",16.358778,48.18815,VNA,type2,11
Zentagasse 31,"Zentagasse 31, 1050, Wien",16.358778,48.18815,VNA,type2,11
Wehrgasse 32,"Wehrgasse 32, 1050, Wien",16.35766,48.195798,VNA,type2,11
Wehrgasse 32,"Wehrgasse 32, 1050, Wien",16.35766,48.195798,VNA,type2,11
Stolberggasse 47,"Stolberggasse 47, 1050, Wien",16.357696,48.184671,VNA,type2,11
Stolberggasse 47,"Stolberggasse 47, 1050, Wien",16.357696,48.184671,VNA,type2,11
Mittersteig 14,"Mittersteig 14, 1050, Wien",16.363026,48.190808,VNA,type2,11
Mittersteig 14,"Mittersteig 14, 1050, Wien",16.363026,48.190808,VNA,type2,11
Brandmayergasse 35,"Brandmayergasse 35, 1050, Wien",16.348006,48.18376,VNA,type2,11
Brandmayergasse 35,"Brandmayergasse 35, 1050, Wien",16.348006,48.18376,VNA,type2,11
Amtshausgasse 9,"Amtshausgasse 9, 1050, Wien",16.349223,48.18859,VNA,type2,11
Amtshausgasse 9,"Amtshausgasse 9, 1050, Wien",16.349223,48.18859,VNA,type2,11
Guldeng.16-18,"Guldengasse 16-18, 1140, Wien",16.281726,48.195192,VNA,type2,11
Guldeng.16-18,"Guldengasse 16-18, 1140, Wien",16.281726,48.195192,VNA,type2,11
Goldschlagstr.189,"Goldschlagstraße 189, 1140, Wien",16.302246,48.194756,VNA,type2,11
Goldschlagstr.189,"Goldschlagstraße 189, 1140, Wien",16.302246,48.194756,VNA,type2,11
Linzer Str.313,"Linzer Straße 313/11, 1140, Wien",16.270273,48.199137,VNA,type2,11
Linzer Str.313,"Linzer Straße 313/11, 1140, Wien",16.270273,48.199137,VNA,type2,11
Lotte Leyna Pl.1,"Lotte Leyna Platz 1, 1140, Wien",16.30069,48.19819,VNA,type2,11
Lotte Leyna Pl.1,"Lotte Leyna Platz 1, 1140, Wien",16.30069,48.19819,VNA,type2,11
Linzer Straße 456-458,"Linzer Straße 456-458, 1140, Wien",16.24932,48.203812,VNA,type2,11
Linzer Straße 456-458,"Linzer Straße 456-458, 1140, Wien",16.24932,48.203812,VNA,type2,11
